VARIABLES="X","Y"
ZONE T="Mygrid",I=20,J=81,F=POINT
DT=(DOUBLE DOUBLE)
-0.957078 -2.96745
-1.28711 -3.55157
-1.66924 -4.2279
0.650121 -0.0407886
0.634723 -0.0649298
0.615959 -0.0943477
0.593104 -0.13018
0.565281 -0.1738
0.531433 -0.226866
0.490289 -0.291371
0.440325 -0.369704
0.379723 -0.464714
0.306325 -0.579786
0.217586 -0.71891
0.110526 -0.886756
-0.0183053 -1.08874
-0.172859 -1.33104
-0.357585 -1.62065
-0.5774 -1.96528
-0.837597 -2.37321
-1.14368 -2.85309
-1.50113 -3.41349
-1.91501 -4.06235
0.599012 -0.0452739
0.582506 -0.0683087
0.562393 -0.0963785
0.537895 -0.130568
0.508072 -0.172189
0.47179 -0.222824
0.427688 -0.284373
0.374132 -0.359115
0.309173 -0.449772
0.230499 -0.55957
0.135379 -0.692318
0.0206224 -0.852472
-0.117472 -1.0452
-0.283137 -1.2764
-0.481144 -1.55274
-0.716762 -1.88156
-0.995666 -2.2708
-1.32376 -2.72869
-1.70691 -3.26341
-2.15054 -3.88254
0.546426 -0.0494284
0.528889 -0.0712771
0.507519 -0.0979013
0.481489 -0.13033
0.449802 -0.169808
0.411252 -0.217835
0.364393 -0.276214
0.307489 -0.347108
0.23847 -0.433096
0.154877 -0.53724
0.0538115 -0.663152
-0.068119 -0.815059
-0.214846 -0.997858
-0.390867 -1.21715
-0.601251 -1.47926
-0.851599 -1.79116
-1.14794 -2.16035
-1.49654 -2.59466
-1.90364 -3.10184
-2.375 -3.68909
0.493061 -0.0530996
0.474568 -0.0736871
0.452033 -0.0987746
0.424585 -0.129332
0.39117 -0.166531
0.350519 -0.211786
0.301106 -0.266795
0.2411 -0.333597
0.168318 -0.414622
0.0801688 -0.512754
-0.0264055 -0.631399
-0.154982 -0.774538
-0.309707 -0.946785
-0.495323 -1.15342
-0.717176 -1.4004
-0.981169 -1.69429
-1.29366 -2.04218
-1.66127 -2.45142
-2.09056 -2.92932
-2.58761 -3.48268
0.439657 -0.056131
0.420283 -0.0753878
0.396676 -0.0988537
0.367921 -0.127436
0.332916 -0.162231
0.290331 -0.20456
0.238566 -0.256014
0.175704 -0.318498
0.0994593 -0.394286
0.00711504 -0.486075
-0.104531 -0.597051
-0.239227 -0.730938
-0.401314 -0.892053
-0.595764 -1.08533
-0.828174 -1.31635
-1.10473 -1.59125
-1.43209 -1.91664
-1.81719 -2.29943
-2.26691 -2.74645
-2.78762 -3.26403
0.386955 -0.0583731
0.366778 -0.0762351
0.34219 -0.0980014
0.312241 -0.124513
0.275783 -0.156788
0.231429 -0.196051
0.177515 -0.243779
0.112043 -0.301737
0.0326323 -0.372035
-0.0635463 -0.457177
-0.179828 -0.560114
-0.320117 -0.684304
-0.488935 -0.833749
-0.691458 -1.01303
-0.933519 -1.22731
-1.22156 -1.4823
-1.56251 -1.78413
-1.9636 -2.13919
-2.432 -2.55383
-2.97433 -3.03393
0.335667 -0.0596942
0.31476 -0.0761031
0.289284 -0.0960985
0.258253 -0.120453
0.220477 -0.150102
0.174521 -0.186171
0.118659 -0.230016
0.0508212 -0.283259
-0.0314594 -0.347837
-0.131113 -0.426052
-0.251597 -0.520615
-0.396955 -0.634701
-0.571873 -0.771987
-0.781714 -0.936683
-1.03252 -1.13353
-1.33097 -1.36777
-1.68425 -1.64505
-2.09983 -1.97122
-2.58515 -2.35213
-3.14708 -2.79316
0.286431 -0.0599903
0.26487 -0.0748932
0.238597 -0.0930535
0.206595 -0.115173
0.167638 -0.142101
0.120244 -0.17486
0.0626339 -0.21468
-0.00732552 -0.263037
-0.0921799 -0.321689
-0.194951 -0.392725
-0.319204 -0.478609
-0.469109 -0.582224
-0.649498 -0.706911
-0.865904 -0.856492
-1.12456 -1.03527
-1.43234 -1.24802
-1.79667 -1.49984
-2.22525 -1.79608
-2.72575 -2.14203
-3.30526 -2.54259
0.239789 -0.05919
0.21765 -0.0725399
0.190671 -0.0888078
0.15781 -0.108623
0.117807 -0.132744
0.069141 -0.162089
0.00998456 -0.19776
-0.0618529 -0.241078
-0.148985 -0.293618
-0.254515 -0.357251
-0.382103 -0.434186
-0.536032 -0.527004
-0.721265 -0.638697
-0.943479 -0.772691
-1.20908 -0.932843
-1.52512 -1.12342
-1.89923 -1.349
-2.33932 -1.61437
-2.85325 -1.92427
-3.44832 -2.28309
0.196172 -0.057254
0.173529 -0.0690096
0.145938 -0.0833347
0.11233 -0.100783
0.0714177 -0.122024
0.0216457 -0.147865
-0.0388553 -0.179276
-0.112325 -0.21742
-0.201438 -0.263685
-0.309366 -0.31972
-0.439854 -0.387466
-0.597281 -0.469199
-0.786723 -0.567554
-1.01399 -0.685545
-1.28562 -0.826572
-1.60885 -0.994386
-1.99146 -1.19303
-2.44155 -1.42671
-2.96716 -1.6996
-3.57575 -2.01556
0.155891 -0.0541655
0.132822 -0.0642913
0.10471 -0.0766302
0.0704692 -0.0916594
0.0287857 -0.109955
-0.0219243 -0.132213
-0.0835653 -0.159269
-0.15842 -0.192125
-0.249212 -0.231976
-0.359174 -0.280241
-0.492121 -0.338595
-0.652515 -0.408996
-0.845527 -0.493714
-1.07708 -0.595346
-1.35383 -0.71682
-1.68315 -0.861367
-2.07297 -1.03247
-2.53154 -1.23375
-3.06706 -1.4688
-3.68712 -1.74096
0.119148 -0.049911
0.0957297 -0.0583772
0.0671925 -0.0686938
0.0324335 -0.0812597
-0.00988084 -0.096557
-0.0613582 -0.115167
-0.123932 -0.137788
-0.19992 -0.165259
-0.292085 -0.198578
-0.403712 -0.238933
-0.538671 -0.287723
-0.701492 -0.346585
-0.897425 -0.417418
-1.13248 -0.502393
-1.41342 -0.603957
-1.74772 -0.724814
-2.14344 -0.867872
-2.60895 -1.03616
-3.15258 -1.23269
-3.78202 -1.46024
0.0860578 -0.044445
0.0623691 -0.051228
0.0335026 -0.0594937
-0.00165749 -0.0695615
-0.04446 -0.0818176
-0.0965314 -0.0967277
-0.159827 -0.114852
-0.236692 -0.136861
-0.329921 -0.163557
-0.442836 -0.195889
-0.579352 -0.234979
-0.744052 -0.282139
-0.942246 -0.33889
-1.18001 -0.406972
-1.46419 -0.488344
-1.80235 -0.585174
-2.20264 -0.699792
-2.67352 -0.834625
-3.22342 -0.992083
-3.86012 -1.1744
0.0566971 -0.0376226
0.0328183 -0.0427059
0.00372016 -0.0489003
-0.0317222 -0.0564452
-0.0748683 -0.0656301
-0.127358 -0.076804
-0.191162 -0.0903866
-0.268643 -0.106881
-0.362621 -0.126887
-0.476441 -0.151117
-0.614053 -0.180412
-0.780075 -0.215754
-0.97986 -0.258284
-1.21953 -0.309306
-1.506 -0.370288
-1.84687 -0.442853
-2.25037 -0.52875
-2.72503 -0.629796
-3.27934 -0.747797
-3.92116 -0.884426
0.0312351 -0.0290371
0.00724653 -0.0324126
-0.0219854 -0.0365259
-0.0575907 -0.0415361
-0.100935 -0.0476352
-0.153666 -0.0550552
-0.217763 -0.0640745
-0.295601 -0.0750273
-0.39001 -0.0883121
-0.504355 -0.104402
-0.642599 -0.123855
-0.809384 -0.147324
-1.01009 -0.175565
-1.25086 -0.209446
-1.53864 -0.24994
-1.88109 -0.298127
-2.28644 -0.355165
-2.76328 -0.422264
-3.32014 -0.500622
-3.96491 -0.591349
0.0104865 -0.0175006
-0.0135354 -0.0191735
-0.0428081 -0.0212122
-0.0784629 -0.0236953
-0.121868 -0.0267182
-0.174672 -0.0303957
-0.238858 -0.0348659
-0.316804 -0.0402943
-0.411345 -0.0468785
-0.525849 -0.054853
-0.664286 -0.0644943
-0.831303 -0.076126
-1.03229 -0.0901232
-1.2734 -0.106915
-1.56158 -0.126985
-1.9045 -0.150867
-2.31041 -0.179137
-2.78792 -0.212393
-3.34556 -0.251228
-3.99122 -0.296195
0 0
-0.0240118 -1.6654e-18
-0.0532719 -3.69762e-18
-0.0889116 -6.16948e-18
-0.132298 -9.18286e-18
-0.185079 -1.28408e-17
-0.249239 -1.72955e-17
-0.327151 -2.27035e-17
-0.421652 -2.92568e-17
-0.536107 -3.71999e-17
-0.674485 -4.68029e-17
-0.841431 -5.83837e-17
-1.04233 -7.2326e-17
-1.28333 -8.90492e-17
-1.57139 -1.0904e-16
-1.91417 -1.32822e-16
-2.31991 -1.60976e-16
-2.79722 -1.94096e-16
-3.35461 -2.32773e-16
-4 -2.77556e-16
0 0
-0.023959 0.00177804
-0.053155 0.00394471
-0.0887164 0.00658378
-0.132007 0.00979648
-0.184673 0.0137049
-0.248691 0.0184558
-0.326433 0.0242251
-0.420726 0.0312228
-0.53493 0.039698
-0.673004 0.0499447
-0.839584 0.0623068
-1.04004 0.077183
-1.28052 0.0950292
-1.56794 0.116359
-1.90996 0.141741
-2.31482 0.171786
-2.79108 0.20713
-3.34725 0.248404
-3.99122 0.296195
0.0104865 0.0175006
-0.0133775 0.0209453
-0.0424577 0.0251431
-0.0778781 0.030256
-0.120997 0.0364803
-0.173454 0.0440524
-0.237219 0.0532569
-0.314652 0.0644344
-0.408572 0.0779916
-0.522322 0.0944115
-0.659849 0.114264
-0.825768 0.138214
-1.02543 0.167035
-1.26495 0.20161
-1.55124 0.242936
-1.8919 0.292111
-2.29515 0.35032
-2.76952 0.418795
-3.32349 0.49876
-3.96491 0.591349
0.0312351 0.0290371
0.00750916 0.0341719
-0.0214027 0.0404291
-0.0566182 0.0480506
-0.0994882 0.0573286
-0.151641 0.0686158
-0.215037 0.0823361
-0.292022 0.0989975
-0.385398 0.119206
-0.498491 0.143682
-0.635222 0.173274
-0.800181 0.208975
-0.998687 0.251936
-1.23683 0.303475
-1.52145 0.365075
-1.86015 0.438376
-2.26106 0.525144
-2.73269 0.627214
-3.28345 0.746412
-3.92116 0.884426
0.0566971 0.0376226
0.0331847 0.0444465
0.00453302 0.0527621
-0.0303655 0.0628907
-0.0728496 0.0752208
-0.124534 0.090221
-0.187359 0.108455
-0.263651 0.130597
-0.356187 0.157453
-0.468261 0.189981
-0.603762 0.229307
-0.767236 0.276752
-0.963956 0.333846
-1.19995 0.402338
-1.48202 0.484202
-1.81766 0.581616
-2.21497 0.696927
-2.68235 0.832574
-3.22815 0.990982
-3.86012 1.1744
0.0860578 0.044445
0.062838 0.052944
0.0345428 0.0633006
7.86226e-05 0.0759152
-0.0418768 0.0912718
-0.0929175 0.109954
-0.154961 0.132663
-0.230304 0.16024
-0.321688 0.193689
-0.432367 0.2342
-0.566182 0.283179
-0.727622 0.342269
-0.921893 0.413377
-1.15495 0.498681
-1.43351 0.600639
-1.76498 0.721963
-2.15734 0.865577
-2.6189 1.03452
-3.15791 1.23181
-3.78202 1.46024
0.119148 0.049911
0.0962994 0.0600623
0.0684564 0.0724324
0.0345429 0.0874995
-0.00674203 0.105842
-0.0569672 0.128156
-0.118019 0.15528
-0.192158 0.188218
-0.282082 0.22817
-0.390993 0.276557
-0.522669 0.335058
-0.681529 0.405636
-0.872696 0.490568
-1.10203 0.592457
-1.37614 0.714236
-1.70231 0.859148
-2.0884 1.03068
-2.54259 1.23247
-3.07299 1.46811
-3.68712 1.74096
0.155891 0.0541655
0.13349 0.0659397
0.106193 0.0802874
0.0729446 0.0977633
0.032469 0.119038
-0.0167715 0.144919
-0.0766263 0.17638
-0.149312 0.214584
-0.237473 0.260922
-0.344249 0.317045
-0.473343 0.384899
-0.629089 0.466761
-0.816508 0.56527
-1.04135 0.683448
-1.31008 0.824697
-1.62986 0.992776
-2.00838 1.19173
-2.45366 1.42578
-2.97366 1.6991
-3.57575 2.01556
0.196172 0.057254
0.174294 0.0706156
0.147635 0.0868976
0.115163 0.10673
0.0756325 0.130872
0.0275421 0.160243
-0.0309148 0.195945
-0.101903 0.2393
-0.188004 0.291886
-0.292287 0.355575
-0.418366 0.432576
-0.570474 0.525475
-0.753516 0.637266
-0.973103 0.771376
-1.23556 0.931668
-1.54787 1.12241
-1.91755 1.34819
-2.35243 1.61379
-2.86029 1.92395
-3.44832 2.28309
0.239789 0.05919
0.218508 0.0740977
0.192576 0.0922639
0.16099 0.114391
0.122539 0.141327
0.0757604 0.174097
0.0188985 0.21393
-0.0501524 0.262302
-0.133905 0.320973
-0.235342 0.392032
-0.357981 0.477944
-0.505939 0.581592
-0.683986 0.706319
-0.897581 0.855948
-1.15288 1.03479
-1.45666 1.2476
-1.81626 1.49951
-2.23928 1.79584
-2.73327 2.1419
-3.30526 2.54259
0.286431 0.0599903
0.26582 0.0763974
0.240703 0.0963906
0.210111 0.120743
0.172869 0.150389
0.127563 0.186454
0.0724901 0.230293
0.00561176 0.28353
-0.0755056 0.348102
-0.173751 0.426308
-0.292531 0.520861
-0.435834 0.634934
-0.608279 0.772206
-0.815154 0.936884
-1.06242 1.13371
-1.35664 1.36793
-1.70493 1.64517
-2.11463 1.97131
-2.59309 2.35217
-3.14708 2.79316
0.335667 0.0596942
0.315797 0.0775484
0.291585 0.099305
0.262093 0.125805
0.226191 0.158065
0.182514 0.197312
0.129422 0.245018
0.0649498 0.30295
-0.0132496 0.373217
-0.107961 0.458321
-0.222468 0.561213
-0.360616 0.685347
-0.526858 0.834726
-0.726291 1.01393
-0.964658 1.22812
-1.2483 1.48299
-1.58406 1.78468
-1.97903 2.13959
-2.44027 2.55404
-2.97433 3.03393
0.386955 0.0583731
0.367899 0.0776165
0.344676 0.101066
0.316391 0.129628
0.281958 0.164399
0.240068 0.206699
0.189149 0.258117
0.127314 0.320557
0.0523136 0.396291
-0.0385227 0.488017
-0.148346 0.598915
-0.280842 0.732709
-0.440282 0.89371
-0.631556 1.08686
-0.860171 1.31771
-1.13221 1.59241
-1.45423 1.91758
-1.83304 2.3001
-2.27541 2.74681
-2.78762 3.26403
0.439657 0.056131
0.421484 0.0767003
0.399339 0.101766
0.372367 0.132296
0.339531 0.169462
0.299585 0.214677
0.251028 0.269638
0.192063 0.336381
0.120543 0.417333
0.0339216 0.515379
-0.0708052 0.633919
-0.197153 0.776931
-0.349195 0.949027
-0.531594 1.15548
-0.7496 1.40224
-1.00902 1.69588
-1.31609 2.04345
-1.67733 2.45233
-2.09917 2.92981
-2.58761 3.48268
0.493061 0.0530996
0.475845 0.0749262
0.454865 0.101524
0.42931 0.13392
0.398202 0.173358
0.360357 0.221336
0.314353 0.279657
0.258489 0.350479
0.19073 0.43638
0.108664 0.540419
0.0094451 0.666204
-0.110258 0.817958
-0.254304 1.00057
-0.42711 1.21965
-0.633652 1.48149
-0.879427 1.79307
-1.17035 2.16189
-1.51259 2.59576
-1.91225 3.10243
-2.375 3.68909
0.546426 0.0494284
0.530237 0.0724383
0.510508 0.100478
0.486478 0.13463
0.457226 0.176207
0.421638 0.226786
0.378379 0.288268
0.325847 0.36293
0.262131 0.453488
0.184961 0.563167
0.091661 0.695772
-0.0209011 0.855753
-0.156354 1.04827
-0.318851 1.27922
-0.513071 1.55526
-0.744183 1.88373
-1.01775 2.27255
-1.33957 2.72994
-1.71539 3.26408
-2.15054 3.88254
0.599012 0.0452739
0.58392 0.0693882
0.56553 0.0987732
0.54313 0.134565
0.515862 0.178137
0.482688 0.231144
0.442364 0.295577
0.393395 0.373822
0.334001 0.468727
0.262066 0.58367
0.175095 0.722639
0.070168 0.890298
-0.0560966 1.09205
-0.207571 1.33409
-0.388616 1.62338
-0.604051 1.96761
-0.859064 2.37509
-1.15905 2.85444
-1.50938 3.41421
-1.91501 4.06235
0.650121 0.0407886
0.636198 0.0659236
0.619232 0.0965525
0.598567 0.133859
0.573409 0.179275
0.542805 0.234526
0.505603 0.301686
0.460426 0.383243
0.40563 0.482165
